collection,request_name,method,path,raw_url
HPE Aruba Networking Central (Classic Central),Test for webhook notification,GET,/central/v1/webhooks/:wid/ping,{{base_url}}/central/v1/webhooks/:wid/ping
HPE Aruba Networking Central (Classic Central),Add Webhook,POST,/central/v1/webhooks,{{base_url}}/central/v1/webhooks
HPE Aruba Networking Central (Classic Central),List webhooks,GET,/central/v1/webhooks,{{base_url}}/central/v1/webhooks
HPE Aruba Networking Central (Classic Central),Update webhook settings,PUT,/central/v1/webhooks/:wid,{{base_url}}/central/v1/webhooks/:wid
HPE Aruba Networking Central (Classic Central),Refresh the webhook token,PUT,/central/v1/webhooks/:wid/token,{{base_url}}/central/v1/webhooks/:wid/token
HPE Aruba Networking Central (Classic Central),Delete Webhooks,DELETE,/central/v1/webhooks/:wid,{{base_url}}/central/v1/webhooks/:wid
HPE Aruba Networking Central (Classic Central),Webhook setting for a specific item,GET,/central/v1/webhooks/:wid,{{base_url}}/central/v1/webhooks/:wid
HPE Aruba Networking Central (Classic Central),Get Webhook Token,GET,/central/v1/webhooks/:wid/token,{{base_url}}/central/v1/webhooks/:wid/token
HPE Aruba Networking Central (Classic Central),Step 1 - Login & Obtain CSRF Token,POST,/oauth2/authorize/central/api/login,{{base_url}}/oauth2/authorize/central/api/login?client_id={{client_id}}
HPE Aruba Networking Central (Classic Central),Step 2 - Obtain Authorization Code ,POST,/oauth2/authorize/central/api/,{{base_url}}/oauth2/authorize/central/api/?client_id={{client_id}}&response_type=code&scope=all
HPE Aruba Networking Central (Classic Central),Step 3 - Acquire the Access Token,POST,/oauth2/token,{{base_url}}/oauth2/token
HPE Aruba Networking Central (Classic Central),Step 1 - Login & Obtain CSRF Token,POST,/oauth2/authorize/central/api/login,{{base_url}}/oauth2/authorize/central/api/login?client_id={{client_id}}
HPE Aruba Networking Central (Classic Central),Step 2 - Obtain Authorization Code ,POST,/oauth2/authorize/central/api/,{{base_url}}/oauth2/authorize/central/api/?client_id={{client_id}}&response_type=code&scope=all
HPE Aruba Networking Central (Classic Central),Step 3 - Acquire the Access Token,POST,/oauth2/token,{{base_url}}/oauth2/token
HPE Aruba Networking Central (Classic Central),Refresh Access Token,POST,/oauth2/token,{{base_url}}/oauth2/token?client_id={{client_id}}&client_secret={{client_secret}}&grant_type=refresh_token&refresh_token={{refresh_token}}
HPE Aruba Networking Central (Classic Central),Refresh Access Token,POST,/oauth2/token,{{base_url}}/oauth2/token?client_id={{client_id}}&client_secret={{client_secret}}&grant_type=refresh_token&refresh_token={{refresh_token}}
HPE Aruba Networking Central (Classic Central),Delete Access Token,DELETE,/oauth2/api/tokens,{{base_url}}/oauth2/api/tokens
HPE Aruba Networking Central (Classic Central),Delete Access Token,DELETE,/oauth2/api/tokens,{{base_url}}/oauth2/api/tokens
HPE Aruba Networking Central (Classic Central),Get all audit logs,GET,/platform/auditlogs/v1/logs,{{base_url}}/platform/auditlogs/v1/logs?limit=20&offset=0&username=<string>&start_time=<integer>&end_time=<integer>&description=<string>&target=<string>&classification=<string>&customer_name=<string>&ip_address=<string>&app_id=<string>
HPE Aruba Networking Central (Classic Central),Get details of an audit log,GET,/platform/auditlogs/v1/logs/:id,{{base_url}}/platform/auditlogs/v1/logs/:id
HPE Aruba Networking Central (Classic Central),Get all audit logs,GET,/platform/auditlogs/v1/logs,{{base_url}}/platform/auditlogs/v1/logs?limit=20&offset=0&username=<string>&start_time=<integer>&end_time=<integer>&description=<string>&target=<string>&classification=<string>&customer_name=<string>&ip_address=<string>&app_id=<string>
HPE Aruba Networking Central (Classic Central),Get details of an audit log,GET,/platform/auditlogs/v1/logs/:id,{{base_url}}/platform/auditlogs/v1/logs/:id
HPE Aruba Networking Central (Classic Central),Enable/Disable the Syslog App.,POST,/ofcapi/v1/syslog/flow,{{base_url}}/ofcapi/v1/syslog/flow
HPE Aruba Networking Central (Classic Central),Enable Syslog App on a list of given device SerialIDs.,POST,/ofcapi/v1/syslog/flows/:enable,{{base_url}}/ofcapi/v1/syslog/flows/:enable
HPE Aruba Networking Central (Classic Central),Check Status of Syslog App for given SerialIDs.,POST,/ofcapi/v1/syslog/flows/status/device_list,{{base_url}}/ofcapi/v1/syslog/flows/status/device_list
HPE Aruba Networking Central (Classic Central),Check Status of Enabled Flow SerialID,GET,/ofcapi/v1/syslog/flow/status/:serial_id,{{base_url}}/ofcapi/v1/syslog/flow/status/:serial_id
HPE Aruba Networking Central (Classic Central),Enable Syslog App on a list of given device SerialIDs.,POST,/ofcapi/v1/syslog/flows/:enable,{{base_url}}/ofcapi/v1/syslog/flows/:enable
HPE Aruba Networking Central (Classic Central),Check Status of Syslog App for given SerialIDs.,POST,/ofcapi/v1/syslog/flows/status/device_list,{{base_url}}/ofcapi/v1/syslog/flows/status/device_list
HPE Aruba Networking Central (Classic Central),Enable/Disable the Syslog App.,POST,/ofcapi/v1/syslog/flow,{{base_url}}/ofcapi/v1/syslog/flow
HPE Aruba Networking Central (Classic Central),Check Status of Enabled Flow SerialID,GET,/ofcapi/v1/syslog/flow/status/:serial_id,{{base_url}}/ofcapi/v1/syslog/flow/status/:serial_id
HPE Aruba Networking Central (Classic Central),Wi-Fi Connectivity at Global,GET,/aiops/v1/connectivity/global/stage/:stage/export,{{base_url}}/aiops/v1/connectivity/global/stage/:stage/export?from=<long>&to=<long>
HPE Aruba Networking Central (Classic Central),Wi-Fi Connectivity at Site,GET,/aiops/v1/connectivity/site/:site_id/stage/:stage/export,{{base_url}}/aiops/v1/connectivity/site/:site_id/stage/:stage/export?from=<long>&to=<long>
HPE Aruba Networking Central (Classic Central),Wi-Fi Connectivity at Group,GET,/aiops/v1/connectivity/group/:group/stage/:stage/export,{{base_url}}/aiops/v1/connectivity/group/:group/stage/:stage/export?from=<long>&to=<long>
HPE Aruba Networking Central (Classic Central),Wi-Fi Connectivity at Group,GET,/aiops/v1/connectivity/group/:group/stage/:stage/export,{{base_url}}/aiops/v1/connectivity/group/:group/stage/:stage/export?from=<long>&to=<long>
HPE Aruba Networking Central (Classic Central),Wi-Fi Connectivity at Global,GET,/aiops/v1/connectivity/global/stage/:stage/export,{{base_url}}/aiops/v1/connectivity/global/stage/:stage/export?from=<long>&to=<long>
HPE Aruba Networking Central (Classic Central),Wi-Fi Connectivity at Site,GET,/aiops/v1/connectivity/site/:site_id/stage/:stage/export,{{base_url}}/aiops/v1/connectivity/site/:site_id/stage/:stage/export?from=<long>&to=<long>
HPE Aruba Networking Central (Classic Central),List AI Insights for a Network,GET,/aiops/v2/insights/global/list,{{base_url}}/aiops/v2/insights/global/list?from=<long>&to=<long>
HPE Aruba Networking Central (Classic Central),List AI Insights for a Site,GET,/aiops/v2/insights/site/:site_id/list,{{base_url}}/aiops/v2/insights/site/:site_id/list?from=<long>&to=<long>
HPE Aruba Networking Central (Classic Central),List AI Insights for an AP,GET,/aiops/v2/insights/ap/:ap_serial/list,{{base_url}}/aiops/v2/insights/ap/:ap_serial/list?from=<long>&to=<long>
HPE Aruba Networking Central (Classic Central),List AI Insights for a Client,GET,/aiops/v2/insights/client/:sta_mac/list,{{base_url}}/aiops/v2/insights/client/:sta_mac/list?from=<long>&to=<long>
HPE Aruba Networking Central (Classic Central),List AI Insights for a Gateway,GET,/aiops/v2/insights/gateway/:gw_serial/list,{{base_url}}/aiops/v2/insights/gateway/:gw_serial/list?from=<long>&to=<long>
HPE Aruba Networking Central (Classic Central),List AI Insights for a Switch,GET,/aiops/v2/insights/switch/:sw_serial/list,{{base_url}}/aiops/v2/insights/switch/:sw_serial/list?from=<long>&to=<long>
HPE Aruba Networking Central (Classic Central),List AI Insights for a Client,GET,/aiops/v2/insights/client/:sta_mac/list,{{base_url}}/aiops/v2/insights/client/:sta_mac/list?from=<long>&to=<long>
HPE Aruba Networking Central (Classic Central),List AI Insights for an AP,GET,/aiops/v2/insights/ap/:ap_serial/list,{{base_url}}/aiops/v2/insights/ap/:ap_serial/list?from=<long>&to=<long>
HPE Aruba Networking Central (Classic Central),List AI Insights for a Switch,GET,/aiops/v2/insights/switch/:sw_serial/list,{{base_url}}/aiops/v2/insights/switch/:sw_serial/list?from=<long>&to=<long>
HPE Aruba Networking Central (Classic Central),List AI Insights for a Network,GET,/aiops/v2/insights/global/list,{{base_url}}/aiops/v2/insights/global/list?from=<long>&to=<long>
HPE Aruba Networking Central (Classic Central),List AI Insights for a Site,GET,/aiops/v2/insights/site/:site_id/list,{{base_url}}/aiops/v2/insights/site/:site_id/list?from=<long>&to=<long>
HPE Aruba Networking Central (Classic Central),List AI Insights for a Gateway,GET,/aiops/v2/insights/gateway/:gw_serial/list,{{base_url}}/aiops/v2/insights/gateway/:gw_serial/list?from=<long>&to=<long>
HPE Aruba Networking Central (Classic Central),AI Insight Details for a Network,GET,/aiops/v2/insights/global/id/:insight_id/export,{{base_url}}/aiops/v2/insights/global/id/:insight_id/export?from=<long>&to=<long>
HPE Aruba Networking Central (Classic Central),AI Insight Details for a Site,GET,/aiops/v2/insights/site/:site_id/id/:insight_id/export,{{base_url}}/aiops/v2/insights/site/:site_id/id/:insight_id/export?from=<long>&to=<long>
HPE Aruba Networking Central (Classic Central),AI Insight Details for an AP,GET,/aiops/v2/insights/ap/:ap_serial/id/:insight_id/export,{{base_url}}/aiops/v2/insights/ap/:ap_serial/id/:insight_id/export?from=<long>&to=<long>
HPE Aruba Networking Central (Classic Central),AI Insight Details for a Client,GET,/aiops/v2/insights/client/:sta_mac/id/:insight_id/export,{{base_url}}/aiops/v2/insights/client/:sta_mac/id/:insight_id/export?from=<long>&to=<long>
HPE Aruba Networking Central (Classic Central),AI Insight Details for a Gateway,GET,/aiops/v2/insights/gateway/:gw_serial/id/:insight_id/export,{{base_url}}/aiops/v2/insights/gateway/:gw_serial/id/:insight_id/export?from=<long>&to=<long>
HPE Aruba Networking Central (Classic Central),AI Insight Details for a Switch,GET,/aiops/v2/insights/switch/:sw_serial/id/:insight_id/export,{{base_url}}/aiops/v2/insights/switch/:sw_serial/id/:insight_id/export?from=<long>&to=<long>
HPE Aruba Networking Central (Classic Central),AI Insight Details for a Client,GET,/aiops/v2/insights/client/:sta_mac/id/:insight_id/export,{{base_url}}/aiops/v2/insights/client/:sta_mac/id/:insight_id/export?from=<long>&to=<long>
HPE Aruba Networking Central (Classic Central),AI Insight Details for a Gateway,GET,/aiops/v2/insights/gateway/:gw_serial/id/:insight_id/export,{{base_url}}/aiops/v2/insights/gateway/:gw_serial/id/:insight_id/export?from=<long>&to=<long>
HPE Aruba Networking Central (Classic Central),AI Insight Details for a Network,GET,/aiops/v2/insights/global/id/:insight_id/export,{{base_url}}/aiops/v2/insights/global/id/:insight_id/export?from=<long>&to=<long>
HPE Aruba Networking Central (Classic Central),AI Insight Details for a Site,GET,/aiops/v2/insights/site/:site_id/id/:insight_id/export,{{base_url}}/aiops/v2/insights/site/:site_id/id/:insight_id/export?from=<long>&to=<long>
HPE Aruba Networking Central (Classic Central),AI Insight Details for an AP,GET,/aiops/v2/insights/ap/:ap_serial/id/:insight_id/export,{{base_url}}/aiops/v2/insights/ap/:ap_serial/id/:insight_id/export?from=<long>&to=<long>
HPE Aruba Networking Central (Classic Central),AI Insight Details for a Switch,GET,/aiops/v2/insights/switch/:sw_serial/id/:insight_id/export,{{base_url}}/aiops/v2/insights/switch/:sw_serial/id/:insight_id/export?from=<long>&to=<long>
HPE Aruba Networking Central (Classic Central),Get AirGroup Traffic Summary in terms of Packets,GET,/airgroup/v1/traffic,{{base_url}}/airgroup/v1/traffic?start_time=<long>&end_time=<long>&label=<string>
HPE Aruba Networking Central (Classic Central),Retrieves device summary,GET,/airgroup/v1/devices,{{base_url}}/airgroup/v1/devices
HPE Aruba Networking Central (Classic Central),Retrieves device summary,GET,/airgroup/v1/devices,{{base_url}}/airgroup/v1/devices
HPE Aruba Networking Central (Classic Central),Get AirGroup Traffic Summary in terms of Packets,GET,/airgroup/v1/traffic,{{base_url}}/airgroup/v1/traffic?start_time=<long>&end_time=<long>&label=<string>
HPE Aruba Networking Central (Classic Central),Get temporal data about AirGroup based on the parameter passed,GET,/airgroup/v1/trend,{{base_url}}/airgroup/v1/trend?start_time=<long>&end_time=<long>&trend_type=<string>&label=<string>
HPE Aruba Networking Central (Classic Central),Get temporal data about AirGroup based on the parameter passed,GET,/airgroup/v1/trend,{{base_url}}/airgroup/v1/trend?start_time=<long>&end_time=<long>&trend_type=<string>&label=<string>
HPE Aruba Networking Central (Classic Central),Retrieves list of labels,GET,/airgroup/v1/labels,{{base_url}}/airgroup/v1/labels
HPE Aruba Networking Central (Classic Central),Get all the uncached services encountered by AirGroup,GET,/airgroup/v1/uncached_services,{{base_url}}/airgroup/v1/uncached_services
HPE Aruba Networking Central (Classic Central),Retrieves a list of all hostnames,GET,/airgroup/v1/hostnames,{{base_url}}/airgroup/v1/hostnames
HPE Aruba Networking Central (Classic Central),Get all the uncached services encountered by AirGroup,GET,/airgroup/v1/uncached_services,{{base_url}}/airgroup/v1/uncached_services
HPE Aruba Networking Central (Classic Central),Retrieves a list of all hostnames,GET,/airgroup/v1/hostnames,{{base_url}}/airgroup/v1/hostnames
HPE Aruba Networking Central (Classic Central),Retrieves list of labels,GET,/airgroup/v1/labels,{{base_url}}/airgroup/v1/labels
HPE Aruba Networking Central (Classic Central),Retrieves a summary of all the services queried for.,GET,/airgroup/v1/distribution/services,{{base_url}}/airgroup/v1/distribution/services?start_time=<long>&end_time=<long>&label=<string>
HPE Aruba Networking Central (Classic Central),Retrieves a summary of the servers connected to AirGroup,GET,/airgroup/v1/distribution/servers,{{base_url}}/airgroup/v1/distribution/servers?start_time=<long>&end_time=<long>&label=<string>
HPE Aruba Networking Central (Classic Central),Retrieves a summary of all the services queried for.,GET,/airgroup/v1/distribution/services,{{base_url}}/airgroup/v1/distribution/services?start_time=<long>&end_time=<long>&label=<string>
HPE Aruba Networking Central (Classic Central),Retrieves a summary of the servers connected to AirGroup,GET,/airgroup/v1/distribution/servers,{{base_url}}/airgroup/v1/distribution/servers?start_time=<long>&end_time=<long>&label=<string>
HPE Aruba Networking Central (Classic Central),Retrieves the suppression factor,GET,/airgroup/v1/stats/suppression,{{base_url}}/airgroup/v1/stats/suppression
HPE Aruba Networking Central (Classic Central),Retrieves the suppression factor,GET,/airgroup/v1/stats/suppression,{{base_url}}/airgroup/v1/stats/suppression
HPE Aruba Networking Central (Classic Central),Get AP info of a specific AP ethernet MAC,GET,/telemetry/v1/ap_info/:ap_eth_mac,{{base_url}}/telemetry/v1/ap_info/:ap_eth_mac?tenant_id=<string>
HPE Aruba Networking Central (Classic Central),Get AP info for all AP's,GET,/telemetry/v1/ap_info_all,{{base_url}}/telemetry/v1/ap_info_all?tenant_id=<string>
HPE Aruba Networking Central (Classic Central),Get number of AP's and AP models,GET,/telemetry/v1/adv_ap_stats,{{base_url}}/telemetry/v1/adv_ap_stats?tenant_id=<string>
HPE Aruba Networking Central (Classic Central),Returns all device (AP) running configuration for a customer,GET,/receiver/v1/devices_config_all,{{base_url}}/receiver/v1/devices_config_all?tenant_id=<string>
HPE Aruba Networking Central (Classic Central),Returns device (AP) running configuration,GET,/receiver/v1/device_config/:ap_serial,{{base_url}}/receiver/v1/device_config/:ap_serial?tenant_id=<string>
HPE Aruba Networking Central (Classic Central),Change a device running config,PUT,/receiver/v1/device_config_set/:ap_serial,{{base_url}}/receiver/v1/device_config_set/:ap_serial?tenant_id=<string>
HPE Aruba Networking Central (Classic Central),Returns device (AP) running configuration,GET,/feasibility/v1/device_config/:ap_serial,{{base_url}}/feasibility/v1/device_config/:ap_serial?tenant_id=<string>
HPE Aruba Networking Central (Classic Central),Change a device running config,PUT,/feasibility/v1/device_config/:ap_serial,{{base_url}}/feasibility/v1/device_config/:ap_serial?tenant_id=<string>
HPE Aruba Networking Central (Classic Central),Returns all device (AP) running configuration for a customer,GET,/feasibility/v1/device_config,{{base_url}}/feasibility/v1/device_config?tenant_id=<string>
HPE Aruba Networking Central (Classic Central),Get feasibility ap info of a specific AP ethernet MAC,GET,/feasibility/v1/ap_info/:ap_serial,{{base_url}}/feasibility/v1/ap_info/:ap_serial?tenant_id=<string>
HPE Aruba Networking Central (Classic Central),Get AP neighbor list,GET,/ap_nbr_graph/v1/Ap/NeighborList/:apserialnum,{{base_url}}/ap_nbr_graph/v1/Ap/NeighborList/:apserialnum?tenant_id=<string>&count=<integer>&max_pathloss=<integer>&ap_mac=<boolean>
HPE Aruba Networking Central (Classic Central),Get AP neighbor list,GET,/ap_nbr_graph/v1/Ap/LiveUpgrade/Sampling,"{{base_url}}/ap_nbr_graph/v1/Ap/LiveUpgrade/Sampling?tenant_id=<string>&aplist=<string>,<string>"
HPE Aruba Networking Central (Classic Central),Get number of AP's and AP models,GET,/telemetry/v1/adv_ap_stats,{{base_url}}/telemetry/v1/adv_ap_stats?tenant_id=<string>
HPE Aruba Networking Central (Classic Central),Get AP info for all AP's,GET,/telemetry/v1/ap_info_all,{{base_url}}/telemetry/v1/ap_info_all?tenant_id=<string>
HPE Aruba Networking Central (Classic Central),Get AP info of a specific AP ethernet MAC,GET,/telemetry/v1/ap_info/:ap_eth_mac,{{base_url}}/telemetry/v1/ap_info/:ap_eth_mac?tenant_id=<string>
HPE Aruba Networking Central (Classic Central),Change a device running config,PUT,/receiver/v1/device_config_set/:ap_serial,{{base_url}}/receiver/v1/device_config_set/:ap_serial?tenant_id=<string>
HPE Aruba Networking Central (Classic Central),Change a device running config,PUT,/feasibility/v1/device_config/:ap_serial,{{base_url}}/feasibility/v1/device_config/:ap_serial?tenant_id=<string>
HPE Aruba Networking Central (Classic Central),Get AP neighbor list,GET,/ap_nbr_graph/v1/Ap/NeighborList/:apserialnum,{{base_url}}/ap_nbr_graph/v1/Ap/NeighborList/:apserialnum?tenant_id=<string>&count=<integer>&max_pathloss=<integer>&ap_mac=<boolean>
HPE Aruba Networking Central (Classic Central),Get AP neighbor list,GET,/ap_nbr_graph/v1/Ap/LiveUpgrade/Sampling,"{{base_url}}/ap_nbr_graph/v1/Ap/LiveUpgrade/Sampling?tenant_id=<string>&aplist=<string>,<string>"
HPE Aruba Networking Central (Classic Central),Returns all device (AP) running configuration for a customer,GET,/receiver/v1/devices_config_all,{{base_url}}/receiver/v1/devices_config_all?tenant_id=<string>
HPE Aruba Networking Central (Classic Central),Returns device (AP) running configuration,GET,/receiver/v1/device_config/:ap_serial,{{base_url}}/receiver/v1/device_config/:ap_serial?tenant_id=<string>
HPE Aruba Networking Central (Classic Central),Returns all device (AP) running configuration for a customer,GET,/feasibility/v1/device_config,{{base_url}}/feasibility/v1/device_config?tenant_id=<string>
HPE Aruba Networking Central (Classic Central),Returns device (AP) running configuration,GET,/feasibility/v1/device_config/:ap_serial,{{base_url}}/feasibility/v1/device_config/:ap_serial?tenant_id=<string>
HPE Aruba Networking Central (Classic Central),Get feasibility ap info of a specific AP ethernet MAC,GET,/feasibility/v1/ap_info/:ap_serial,{{base_url}}/feasibility/v1/ap_info/:ap_serial?tenant_id=<string>
HPE Aruba Networking Central (Classic Central),Get reporting radio of a specific radio MAC,GET,/telemetry/v1/reporting_radio/:radio_mac,{{base_url}}/telemetry/v1/reporting_radio/:radio_mac?tenant_id=<string>
HPE Aruba Networking Central (Classic Central),Get all reporting radio for a customer,GET,/telemetry/v1/reporting_radio_all,{{base_url}}/telemetry/v1/reporting_radio_all?tenant_id=<string>
HPE Aruba Networking Central (Classic Central),Get nbr pathloss of a neighbor MAC heard by a specific radio MAC,GET,/telemetry/v1/nbr_pathloss/:radio_mac/:nbr_mac/:band,{{base_url}}/telemetry/v1/nbr_pathloss/:radio_mac/:nbr_mac/:band?tenant_id=<string>
HPE Aruba Networking Central (Classic Central),Get all nbr pathloss for a customer and band,GET,/telemetry/v1/nbr_pathloss_all/:band,{{base_url}}/telemetry/v1/nbr_pathloss_all/:band?tenant_id=<string>
HPE Aruba Networking Central (Classic Central),Get RF events of a specific radio MAC,GET,/telemetry/v1/rf_events/:radio_mac,{{base_url}}/telemetry/v1/rf_events/:radio_mac?tenant_id=<string>
HPE Aruba Networking Central (Classic Central),Get radar and noise RF events of a specific radio MAC,GET,/telemetry/v1/priority_rf_events/:radio_mac,{{base_url}}/telemetry/v1/priority_rf_events/:radio_mac?tenant_id=<string>
HPE Aruba Networking Central (Classic Central),Get history of a specific radio MAC,GET,/telemetry/v1/history/:radio_mac/:band,{{base_url}}/telemetry/v1/history/:radio_mac/:band?tenant_id=<string>
HPE Aruba Networking Central (Classic Central),Get all nbr pathloss for a customer and radio MAC,GET,/telemetry/v1/nbr_pathloss_radio/:radio_mac/:band,{{base_url}}/telemetry/v1/nbr_pathloss_radio/:radio_mac/:band?tenant_id=<string>
HPE Aruba Networking Central (Classic Central),Get all static radios for a customer,GET,/telemetry/v1/static_radio_all,{{base_url}}/telemetry/v1/static_radio_all?tenant_id=<string>
HPE Aruba Networking Central (Classic Central),Get EIRP distribution,GET,/telemetry/v1/adv_eirp_distrubution,{{base_url}}/telemetry/v1/adv_eirp_distrubution?tenant_id=<string>
HPE Aruba Networking Central (Classic Central),Get EIRP reasons,GET,/telemetry/v1/adv_eirp_reason,{{base_url}}/telemetry/v1/adv_eirp_reason?tenant_id=<string>
HPE Aruba Networking Central (Classic Central),Get information about radio,GET,/telemetry/v1/adv_stat_radio,{{base_url}}/telemetry/v1/adv_stat_radio?tenant_id=<string>
HPE Aruba Networking Central (Classic Central),Get neighbor stats information,GET,/telemetry/v1/adv_stat_nbr,{{base_url}}/telemetry/v1/adv_stat_nbr?tenant_id=<string>
